name	term	lev	seq	value
"cytoplasmic side of membrane"	GO:0009898;GO:0098562	3	aten_0.1.m1.35721.m1	0
"cytoplasmic side of membrane"	GO:0009898;GO:0098562	3	aten_0.1.m1.10094.m1	0
"cytoplasmic side of membrane"	GO:0009898;GO:0098562	3	aten_0.1.m1.30001.m1	0
"cytoplasmic side of membrane"	GO:0009898;GO:0098562	3	aten_0.1.m1.29721.m1	0
"cytoplasmic side of membrane"	GO:0009898;GO:0098562	3	aten_0.1.m1.37665.m1	0
"cytoplasmic side of membrane"	GO:0009898;GO:0098562	3	aten_0.1.m1.20935.m1	0
"cytoplasmic side of membrane"	GO:0009898;GO:0098562	3	aten_0.1.m1.28378.m1	0
"cytoplasmic side of membrane"	GO:0009898;GO:0098562	3	aten_0.1.m1.16729.m1	0
"cytoplasmic side of membrane"	GO:0009898;GO:0098562	3	aten_0.1.m1.20934.m1	0
"cytoplasmic side of membrane"	GO:0009898;GO:0098562	3	aten_0.1.m1.21701.m1	1
"cytoplasmic side of membrane"	GO:0009898;GO:0098562	3	aten_0.1.m1.27955.m1	0
"cytoplasmic side of membrane"	GO:0009898;GO:0098562	3	aten_0.1.m1.26115.m1	0
"cytoplasmic side of membrane"	GO:0009898;GO:0098562	3	aten_0.1.m1.7441.m1	0
"cytoplasmic side of membrane"	GO:0009898;GO:0098562	3	aten_0.1.m1.30155.m1	0
"cytoplasmic side of membrane"	GO:0009898;GO:0098562	3	aten_0.1.m1.13130.m1	1
"cytoplasmic side of membrane"	GO:0009898;GO:0098562	3	aten_0.1.m1.33460.m1	0
"cytoplasmic side of membrane"	GO:0009898;GO:0098562	3	aten_0.1.m1.29295.m1	0
"cytoplasmic side of membrane"	GO:0009898;GO:0098562	3	aten_0.1.m1.14847.m1	1
"cytoplasmic side of membrane"	GO:0009898;GO:0098562	3	aten_0.1.m1.20915.m1	0
"cytoplasmic side of membrane"	GO:0009898;GO:0098562	3	aten_0.1.m1.13122.m1	1
