name	term	lev	seq	value
"brush border membrane"	GO:0031526	4	aten_0.1.m1.3700.m1	0
"brush border membrane"	GO:0031526	4	aten_0.1.m1.25586.m1	0
"brush border membrane"	GO:0031526	4	aten_0.1.m1.11177.m1	-2.27227742842645
"brush border membrane"	GO:0031526	4	aten_0.1.m1.16360.m1	0
"brush border membrane"	GO:0031526	4	aten_0.1.m1.18754.m1	0.803810208354357
"brush border membrane"	GO:0031526	4	aten_0.1.m1.24943.m1	0
"brush border membrane"	GO:0031526	4	aten_0.1.m1.3405.m1	0
"brush border membrane"	GO:0031526	4	aten_0.1.m1.16975.m1	0
"brush border membrane"	GO:0031526	4	aten_0.1.m1.2454.m1	0
"brush border membrane"	GO:0031526	4	aten_0.1.m1.1552.m1	0
"brush border membrane"	GO:0031526	4	aten_0.1.m1.36564.m1	1.91406435457844
"brush border membrane"	GO:0031526	4	aten_0.1.m1.17905.m1	0
"brush border membrane"	GO:0031526	4	aten_0.1.m1.19749.m1	-2.39368180895737
"brush border membrane"	GO:0031526	4	aten_0.1.m1.11841.m1	0
"brush border membrane"	GO:0031526	4	aten_0.1.m1.15034.m1	-3.23070611455435
"brush border membrane"	GO:0031526	4	aten_0.1.m1.20696.m1	0
"brush border membrane"	GO:0031526	4	aten_0.1.m1.9278.m1	0
"brush border membrane"	GO:0031526	4	aten_0.1.m1.6481.m1	0
"brush border membrane"	GO:0031526	4	aten_0.1.m1.34693.m1	0
"brush border membrane"	GO:0031526	4	aten_0.1.m1.11176.m1	-2.38175669004794
"brush border membrane"	GO:0031526	4	aten_0.1.m1.24006.m1	0
"brush border membrane"	GO:0031526	4	aten_0.1.m1.34725.m1	1.30100982952162
"brush border membrane"	GO:0031526	4	aten_0.1.m1.22862.m1	0
"brush border membrane"	GO:0031526	4	aten_0.1.m1.30537.m1	-1.42711757073857
"brush border membrane"	GO:0031526	4	aten_0.1.m1.34727.m1	0
"brush border membrane"	GO:0031526	4	aten_0.1.m1.34812.m1	0
"brush border membrane"	GO:0031526	4	aten_0.1.m1.6469.m1	0
"brush border membrane"	GO:0031526	4	aten_0.1.m1.14905.m1	-1.40507557121404
"brush border membrane"	GO:0031526	4	aten_0.1.m1.34707.m1	0
"brush border membrane"	GO:0031526	4	aten_0.1.m1.31327.m1	0
"brush border membrane"	GO:0031526	4	aten_0.1.m1.8269.m1	0
"brush border membrane"	GO:0031526	4	aten_0.1.m1.12204.m1	0
"brush border membrane"	GO:0031526	4	aten_0.1.m1.24912.m1	0
"brush border membrane"	GO:0031526	4	aten_0.1.m1.28821.m1	-2.01907086536447
"brush border membrane"	GO:0031526	4	aten_0.1.m1.16921.m1	0
"brush border membrane"	GO:0031526	4	aten_0.1.m1.2471.m1	0
"brush border membrane"	GO:0031526	4	aten_0.1.m1.26962.m1	0
"brush border membrane"	GO:0031526	4	aten_0.1.m1.6514.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.3522.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.22765.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.17771.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.24305.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.11279.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.27355.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.9257.m1	2.22167671488978
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.9152.m1	1.15316314524459
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.34553.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.4948.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.8479.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.28640.m1	0.736348185368799
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.33391.m1	2.33607835165207
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.34579.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.3463.m1	1.77172689566553
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.525.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.37047.m1	1.47473410952953
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.15014.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.6845.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.13.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.12732.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.7578.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.16427.m1	-2.37648709857108
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.28853.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.34120.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.25230.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.6082.m1	-2.0682145258833
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.5737.m1	1.66190295817897
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.22478.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.22232.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.5133.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.4955.m1	1.60039772097919
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.10209.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.5604.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.27784.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.10673.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.10672.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.1241.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.451.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.4728.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.22484.m1	1.64402465281289
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.34870.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.429.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.6365.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.22310.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.6744.m1	-1.70470981081956
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.29014.m1	0
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.2492.m1	-1.57842477611138
"intrinsic component of endoplasmic reticulum membrane"	GO:0030176;GO:0031227	2	aten_0.1.m1.2500.m1	-2.65161896718318
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	aten_0.1.m1.23914.m1	0
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	aten_0.1.m1.27036.m1	0
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	aten_0.1.m1.30457.m1	0
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	aten_0.1.m1.31850.m1	0
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	aten_0.1.m1.36930.m1	0
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	aten_0.1.m1.36950.m1	0
"intrinsic component of membrane"	GO:0016021;GO:0031224	3	aten_0.1.m1.36962.m1	0
