name	term	lev	seq	value
"sperm principal piece"	GO:0097228	3	aten_0.1.m1.9929.m1	0
"sperm principal piece"	GO:0097228	3	aten_0.1.m1.9904.m1	0
"sperm principal piece"	GO:0097228	3	aten_0.1.m1.35499.m1	0
"sperm principal piece"	GO:0097228	3	aten_0.1.m1.32151.m1	2.32674059978483
"sperm principal piece"	GO:0097228	3	aten_0.1.m1.9923.m1	0
"sperm principal piece"	GO:0097228	3	aten_0.1.m1.6079.m1	0
"sperm principal piece"	GO:0097228	3	aten_0.1.m1.13190.m1	-1.32076810272729
"sperm principal piece"	GO:0097228	3	aten_0.1.m1.9905.m1	0
"sperm principal piece"	GO:0097228	3	aten_0.1.m1.14068.m1	0
"sperm principal piece"	GO:0097228	3	aten_0.1.m1.9862.m1	0
"sperm principal piece"	GO:0097228	3	aten_0.1.m1.13189.m1	0
"sperm principal piece"	GO:0097228	3	aten_0.1.m1.9931.m1	0
"sperm principal piece"	GO:0097228	3	aten_0.1.m1.32152.m1	1.85784404477191
"sperm principal piece"	GO:0097228	3	aten_0.1.m1.18236.m1	-1.83075441248837
"sperm principal piece"	GO:0097228	3	aten_0.1.m1.20688.m1	0
"sperm principal piece"	GO:0097228	3	aten_0.1.m1.14072.m1	0
"sperm principal piece"	GO:0097228	3	aten_0.1.m1.32153.m1	0
"sperm principal piece"	GO:0097228	3	aten_0.1.m1.9881.m1	0
"sperm principal piece"	GO:0097228	3	aten_0.1.m1.14073.m1	0
"sperm principal piece"	GO:0097228	3	aten_0.1.m1.32150.m1	2.23507637633036
"sperm principal piece"	GO:0097228	3	aten_0.1.m1.25630.m1	-1.35605225196418
"sperm principal piece"	GO:0097228	3	aten_0.1.m1.7894.m1	-1.84821620064002
"sperm principal piece"	GO:0097228	3	aten_0.1.m1.1347.m1	0
"sperm principal piece"	GO:0097228	3	aten_0.1.m1.31092.m1	0
"perinuclear region of cytoplasm"	GO:0048471	2	aten_0.1.m1.17251.m1	0
"perinuclear region of cytoplasm"	GO:0048471	2	aten_0.1.m1.29878.m1	0
"perinuclear region of cytoplasm"	GO:0048471	2	aten_0.1.m1.34270.m1	0
"perinuclear region of cytoplasm"	GO:0048471	2	aten_0.1.m1.28084.m1	0
"perinuclear region of cytoplasm"	GO:0048471	2	aten_0.1.m1.2682.m1	0
"perinuclear region of cytoplasm"	GO:0048471	2	aten_0.1.m1.19626.m1	0
"perinuclear region of cytoplasm"	GO:0048471	2	aten_0.1.m1.30033.m1	-1.22214060365683
"perinuclear region of cytoplasm"	GO:0048471	2	aten_0.1.m1.36705.m1	0
