name	term	lev	seq	value
"polymeric cytoskeletal fiber"	GO:0099513	4	aten_0.1.m1.936.m1	1
"polymeric cytoskeletal fiber"	GO:0099513	4	aten_0.1.m1.37705.m1	0
"polymeric cytoskeletal fiber"	GO:0099513	4	aten_0.1.m1.36557.m1	0
"polymeric cytoskeletal fiber"	GO:0099513	4	aten_0.1.m1.29026.m1	1
"polymeric cytoskeletal fiber"	GO:0099513	4	aten_0.1.m1.26501.m1	0
"polymeric cytoskeletal fiber"	GO:0099513	4	aten_0.1.m1.19626.m1	0
"polymeric cytoskeletal fiber"	GO:0099513	4	aten_0.1.m1.25800.m1	1
"polymeric cytoskeletal fiber"	GO:0099513	4	aten_0.1.m1.32455.m1	0
"polymeric cytoskeletal fiber"	GO:0099513	4	aten_0.1.m1.12124.m1	1
"polymeric cytoskeletal fiber"	GO:0099513	4	aten_0.1.m1.28053.m1	0
"polymeric cytoskeletal fiber"	GO:0099513	4	aten_0.1.m1.21701.m1	0
"polymeric cytoskeletal fiber"	GO:0099513	4	aten_0.1.m1.963.m1	0
"polymeric cytoskeletal fiber"	GO:0099513	4	aten_0.1.m1.12861.m1	0
"polymeric cytoskeletal fiber"	GO:0099513	4	aten_0.1.m1.14953.m1	0
"polymeric cytoskeletal fiber"	GO:0099513	4	aten_0.1.m1.21702.m1	1
"polymeric cytoskeletal fiber"	GO:0099513	4	aten_0.1.m1.10472.m1	0
"polymeric cytoskeletal fiber"	GO:0099513	4	aten_0.1.m1.31343.m1	0
"polymeric cytoskeletal fiber"	GO:0099513	4	aten_0.1.m1.5835.m1	0
"polymeric cytoskeletal fiber"	GO:0099513	4	aten_0.1.m1.12073.m1	0
"polymeric cytoskeletal fiber"	GO:0099513	4	aten_0.1.m1.6584.m1	0
"polymeric cytoskeletal fiber"	GO:0099513	4	aten_0.1.m1.20611.m1	0
"polymeric cytoskeletal fiber"	GO:0099513	4	aten_0.1.m1.11946.m1	0
"polymeric cytoskeletal fiber"	GO:0099513	4	aten_0.1.m1.24427.m1	0
