name	term	lev	seq	value
"extracellular space"	GO:0005615	2	aten_0.1.m1.33125.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.13084.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.34865.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.5219.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.3738.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.15518.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.4489.m1	1.38848741309433
"extracellular space"	GO:0005615	2	aten_0.1.m1.15511.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.3251.m1	1.80241605037811
"extracellular space"	GO:0005615	2	aten_0.1.m1.24641.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.6995.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.15033.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.27431.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.35091.m1	2.64934047680741
"extracellular space"	GO:0005615	2	aten_0.1.m1.23614.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.17001.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.17486.m1	-2.7755882223045
"extracellular space"	GO:0005615	2	aten_0.1.m1.14965.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.6891.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.37009.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.20890.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.19716.m1	1.55277150636381
"extracellular space"	GO:0005615	2	aten_0.1.m1.2905.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.20849.m1	0.649264865115293
"extracellular space"	GO:0005615	2	aten_0.1.m1.1907.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.12715.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.17939.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.28103.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.8546.m1	-1.38025785414251
"extracellular space"	GO:0005615	2	aten_0.1.m1.30418.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.24943.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.816.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.4166.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.29002.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.10546.m1	1.58340819481965
"extracellular space"	GO:0005615	2	aten_0.1.m1.28832.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.12353.m1	1.46868912533203
"extracellular space"	GO:0005615	2	aten_0.1.m1.18828.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.17013.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.15826.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.20815.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.7004.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.7473.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.20889.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.16235.m1	-2.76280239660665
"extracellular space"	GO:0005615	2	aten_0.1.m1.21366.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.9951.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.32573.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.24396.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.36388.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.11475.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.9257.m1	1.90319094674765
"extracellular space"	GO:0005615	2	aten_0.1.m1.28639.m1	0
"extracellular space"	GO:0005615	2	aten_0.1.m1.26221.m1	0
