"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.106924624282133 2 7 "GO:0000109" "nucleotide-excision repair complex" 1
0 0.921202553789336 5 13 "GO:0000118" "histone deacetylase complex" 1
0 0.559203002326509 3 35 "GO:0000123;GO:0031248;GO:1902493" "acetyltransferase complex" 1
0 0.22785061953855 2 6 "GO:0000124;GO:0070461;GO:0030914;GO:0033276" "SAGA-type complex" 1
0 0.965137489316543 2 10 "GO:0000138" "Golgi trans cisterna" 1
0 0.987004612666849 4 224 "GO:0000139" "Golgi membrane" 1
0 0.40863670110205 3 159 "GO:0000151" "ubiquitin ligase complex" 1
0 0.793769015439283 2 26 "GO:0000152" "nuclear ubiquitin ligase complex" 1
0 0.866341581120115 4 6 "GO:0000153" "cytoplasmic ubiquitin ligase complex" 1
0 0.546439538278935 3 6 "GO:0000159" "protein phosphatase type 2A complex" 1
0 0.44024323203214 3 5 "GO:0000176" "nuclear exosome (RNase complex)" 1
0 0.167125474647897 3 8 "GO:0000178;GO:1905354" "exoribonuclease complex" 1
0 0.377730516728151 4 230 "GO:0000228;GO:0044454" "nuclear chromosome" 1
0 0.866341581120115 3 6 "GO:0000235;GO:0005818" "aster" 1
0 0.965137489316543 2 10 "GO:0000275;GO:0045261;GO:0005753;GO:0045259" "mitochondrial proton-transporting ATP synthase complex" 1
0 0.714936273905531 4 20 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 1
0 0.473098897589152 3 33 "GO:0000313;GO:0005761" "mitochondrial ribosome" 1
0 0.460143398538519 4 12 "GO:0000314;GO:0005763" "mitochondrial small ribosomal subunit" 1
0 0.714936273905531 2 20 "GO:0000315;GO:0005762" "organellar large ribosomal subunit" 1
0 0.183484087570312 4 17 "GO:0000407" "phagophore assembly site" 1
0 0.713664109337338 2 8 "GO:0000421" "autophagosome membrane" 1
0 0.0110638970021613 2 55 "GO:0000428;GO:0030880;GO:0055029" "RNA polymerase complex" 0.348153236891452
0 0.910518931672433 2 22 "GO:0000502;GO:1905369" "endopeptidase complex" 1
0 0.863040364297296 4 88 "GO:0000775" "chromosome, centromeric region" 1
0 0.910093366164608 3 60 "GO:0000776" "kinetochore" 1
0 0.742495068504011 5 40 "GO:0000777;GO:0000779" "condensed chromosome, centromeric region" 1
0 0.7628085370289 2 13 "GO:0000778" "condensed nuclear chromosome kinetochore" 1
0 0.79930282781956 5 18 "GO:0000780" "condensed nuclear chromosome, centromeric region" 1
0 0.434378773498634 3 39 "GO:0000781" "chromosome, telomeric region" 1
0 0.263371112756155 3 25 "GO:0000784" "nuclear chromosome, telomeric region" 1
0 0.100203816605638 2 192 "GO:0000785" "chromatin" 1
0 0.940071664499893 3 14 "GO:0000786" "nucleosome" 1
0 1 4 9 "GO:0000788" "nuclear nucleosome" 1
0 0.514096963691319 2 122 "GO:0000790" "nuclear chromatin" 1
0 0.234504869605984 4 15 "GO:0000791" "euchromatin" 1
0 0.553263937861509 3 42 "GO:0000792" "heterochromatin" 1
0 0.516056810651407 2 108 "GO:0000793" "condensed chromosome" 1
0 0.508442961934172 2 69 "GO:0000794" "condensed nuclear chromosome" 1
0 0.300413353299789 3 13 "GO:0000795;GO:0099086" "synaptonemal complex" 1
0 0.963199012218466 3 26 "GO:0000796" "condensin complex" 1
0 0.713664109337338 2 8 "GO:0000798;GO:0008278" "cohesin complex" 1
0 0.807987889525992 2 14 "GO:0000799" "nuclear condensin complex" 1
0 0.318545115980863 3 7 "GO:0000800" "lateral element" 1
0 0.995530107393667 5 23 "GO:0000803" "sex chromosome" 1
0 0.998316051216108 2 19 "GO:0000805;GO:0046536" "X chromosome" 1
0 0.44024323203214 3 5 "GO:0000808;GO:0005664" "origin recognition complex" 1
0 0.882622797336492 3 54 "GO:0000922" "spindle pole" 1
0 0.567116278667629 5 28 "GO:0000932" "P-body" 1
0 0.954594501089383 2 15 "GO:0000940" "condensed chromosome outer kinetochore" 1
0 0.143358364939693 2 5 "GO:0000974" "Prp19 complex" 1
0 0.866341581120115 3 6 "GO:0001520" "outer dense fiber" 1
0 0.000448402077778808 4 61 "GO:0001650" "fibrillar center" 0.0632246929668119
0 0.848613630944492 5 32 "GO:0001669" "acrosomal vesicle" 1
0 0.866341581120115 2 6 "GO:0001673" "male germ cell nucleus" 1
0 0.807987889525992 3 14 "GO:0001674;GO:0042585" "female germ cell nucleus" 1
0 0.143880162922914 5 19 "GO:0001725;GO:0097517;GO:0032432" "actin filament bundle" 1
0 0.97547511338092 2 60 "GO:0001726" "ruffle" 1
0 0.714936273905531 2 20 "GO:0001750" "photoreceptor outer segment" 1
0 0.318545115980863 3 7 "GO:0001772" "immunological synapse" 1
0 0.637597307198164 2 7 "GO:0001891" "phagocytic cup" 1
0 0.709345304581246 3 12 "GO:0001917" "photoreceptor inner segment" 1
0 0.954594501089383 5 15 "GO:0002080" "acrosomal membrane" 1
0 0.496062826441168 3 9 "GO:0002102" "podosome" 1
0 0.318545115980863 4 7 "GO:0002178;GO:0017059;GO:0031211;GO:1905961" "palmitoyltransferase complex" 1
0 0.813024573979918 4 5 "GO:0005614" "interstitial matrix" 1
0 0.238349457981625 2 289 "GO:0005615" "extracellular space" 1
0 0.75978255818816 2 145 "GO:0005635" "nuclear envelope" 1
0 0.7628085370289 4 13 "GO:0005637" "nuclear inner membrane" 1
0 0.813024573979918 2 5 "GO:0005641" "nuclear envelope lumen" 1
0 0.627106855256695 2 44 "GO:0005643" "nuclear pore" 1
0 0.236065049459594 2 9 "GO:0005652" "nuclear lamina" 1
0 0.000631349912155111 3 29 "GO:0005657" "replication fork" 0.0712162700910965
0 0.44024323203214 4 5 "GO:0005658" "alpha DNA polymerase:primase complex" 1
0 0.717815454162953 2 106 "GO:0005667" "transcription factor complex" 1
0 0.177681955005844 4 11 "GO:0005669" "transcription factor TFIID complex" 1
