"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1.65438684891368e-05 3 35 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 3.30877369782736e-05
0 4.91856650160314e-09 4 224 "GO:0000139" "Golgi membrane" 1.79086267494268e-08
0 5.19847785533783e-10 2 159 "GO:0000151" "ubiquitin ligase complex" 2.13966334915354e-09
0 0.479609611476079 3 26 "GO:0000152" "nuclear ubiquitin ligase complex" 0.497113611894914
0 9.05694880860296e-09 4 230 "GO:0000228" "nuclear chromosome" 3.09900417065451e-08
0 0.0710038553101539 4 33 "GO:0000313;GO:0005761" "organellar ribosome" 0.0790788035611126
0 5.32187418583716e-08 4 55 "GO:0000428;GO:0030880;GO:0055029" "RNA polymerase complex" 1.60593604743342e-07
0 0.152701681041325 3 88 "GO:0000775" "chromosome, centromeric region" 0.165523959602047
0 0.509753953636936 3 60 "GO:0000776" "kinetochore" 0.526436810301418
0 0.856046094653201 2 33 "GO:0000777" "condensed chromosome kinetochore" 0.874521909645716
0 0.770124309984519 4 40 "GO:0000779" "condensed chromosome, centromeric region" 0.789585935146583
0 0.103161046786603 3 39 "GO:0000781" "chromosome, telomeric region" 0.11268360495152
0 0.0631878186031392 2 25 "GO:0000784" "nuclear chromosome, telomeric region" 0.0706509467846123
0 3.02289290775938e-16 2 192 "GO:0000785" "chromatin" 2.14625396450916e-15
0 7.20078920618292e-09 2 122 "GO:0000790" "nuclear chromatin" 2.49393187140969e-08
0 0.00884815600874729 2 42 "GO:0000792" "heterochromatin" 0.0112181977968046
0 0.0915875353226825 4 108 "GO:0000793" "condensed chromosome" 0.101209572107556
0 0.191441005406254 2 69 "GO:0000794" "condensed nuclear chromosome" 0.204589937309107
0 0.983411796643895 2 26 "GO:0000796" "condensin complex" 0.986886749988926
0 0.00083452017549901 3 54 "GO:0000922" "spindle pole" 0.00126739962482203
0 0.00242024418931837 2 28 "GO:0000932" "P-body" 0.00343674674883208
0 6.55118803423357e-10 2 61 "GO:0001650" "fibrillar center" 2.62047521369343e-09
0 0.000274899597616365 2 32 "GO:0001669" "acrosomal vesicle" 0.000428964207269493
0 0.00407217530491322 2 60 "GO:0001726" "ruffle" 0.00545517823865733
0 2.18206825876676e-07 1 590 "GO:0005576" "extracellular region" 6.07556260284078e-07
0 1.12969156109269e-05 2 289 "GO:0005615" "extracellular space" 2.34184236022134e-05
0 1.65452925507188e-07 2 145 "GO:0005635" "nuclear envelope" 4.74632634788297e-07
0 0.031926067739763 3 44 "GO:0005643" "nuclear pore" 0.0365604969277931
0 1.5755321763797e-65 3 1138 "GO:0005654" "nucleoplasm" 2.23725569045917e-63
0 0.00354824597356325 2 29 "GO:0005657" "replication fork" 0.00484472046390367
0 1.53071498483255e-06 2 106 "GO:0005667" "transcription factor complex" 3.68409369230885e-06
0 2.58492107757793e-08 3 62 "GO:0005681" "spliceosomal complex" 7.97953897861013e-08
0 2.47270458587458e-15 3 423 "GO:0005694" "chromosome" 1.67201929140091e-14
0 0.000243217725619067 5 47 "GO:0005700" "polytene chromosome" 0.000383743522643417
0 3.88488148256564e-28 4 335 "GO:0005730" "nucleolus" 6.12947967249245e-27
0 1.48003188117833e-29 3 512 "GO:0005739" "mitochondrion" 2.80219369503097e-28
0 2.88415855832801e-18 4 205 "GO:0005740;GO:0031966" "mitochondrial envelope" 2.34028865875759e-17
0 2.28868015934695e-06 2 51 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 5.3277472561847e-06
0 2.08057817167793e-12 2 150 "GO:0005743;GO:0019866" "organelle inner membrane" 1.07433491046642e-11
0 0.0037563865473527 2 26 "GO:0005758" "mitochondrial intermembrane space" 0.0051043721504697
0 5.76996611963061e-07 2 136 "GO:0005759" "mitochondrial matrix" 1.48970034361372e-06
0 5.74826277892118e-09 6 62 "GO:0005765;GO:0098852" "lytic vacuole membrane" 2.06646408761217e-08
0 2.58492107757793e-08 3 62 "GO:0005766;GO:0042582" "azurophil granule" 7.97953897861013e-08
0 2.3629555761401e-19 2 336 "GO:0005768" "endosome" 1.97376289301114e-18
0 2.48069627175924e-13 5 110 "GO:0005769" "early endosome" 1.40903548235925e-12
0 1.97577683499313e-06 3 97 "GO:0005770" "late endosome" 4.63736050527313e-06
0 1.58063860385138e-22 3 251 "GO:0005773;GO:0000323;GO:0005764" "vacuole" 1.54793573618549e-21
0 2.5094966163053e-11 2 77 "GO:0005774" "vacuolar membrane" 1.13126514131858e-10
