"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-431 0.493638053718458 2 13 "GO:0000118" "histone deacetylase complex" 0.636260578216325
-876 0.0225676814087705 2 35 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.0588421141026225
-61 0.932397373030299 4 10 "GO:0000138" "Golgi trans cisterna" 0.999951216588406
51 0.738712793880129 3 224 "GO:0000139" "Golgi membrane" 0.848521452429878
311 0.0861320781776883 3 159 "GO:0000151" "ubiquitin ligase complex" 0.179276214651425
-480 0.281054075458338 4 26 "GO:0000152" "nuclear ubiquitin ligase complex" 0.445701425633558
-250 0.0976029724590716 2 230 "GO:0000228;GO:0044454" "nuclear chromosome" 0.196593664905713
-916 0.0711178292513674 2 20 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.155000397086314
-1307 0.000951540282093517 5 33 "GO:0000313;GO:0005761" "mitochondrial ribosome" 0.00421254812385151
-1514 0.0208485437061363 4 12 "GO:0000314;GO:0005763" "organellar small ribosomal subunit" 0.0560799435133413
-1245 0.014207509672075 4 20 "GO:0000315;GO:0005762" "organellar large ribosomal subunit" 0.043129940075942
643 0.24287594215117 3 17 "GO:0000407" "phagophore assembly site" 0.398541603916013
-1776 6.93031162950898e-09 2 55 "GO:0000428;GO:0030880;GO:0055029" "RNA polymerase complex" 1.96358829502754e-07
1543 0.0014368239141082 2 22 "GO:0000502;GO:1905369" "endopeptidase complex" 0.00598676630878417
410 0.090822892719607 2 88 "GO:0000775" "chromosome, centromeric region" 0.184687700506378
209 0.477198991964104 3 60 "GO:0000776" "kinetochore" 0.629232423988168
303 0.399447662701487 2 40 "GO:0000777;GO:0000779" "condensed chromosome, centromeric region" 0.58338576167743
-1 0.998780415184287 3 13 "GO:0000778" "condensed nuclear chromosome kinetochore" 0.999951216588406
-1 0.998548693443375 3 18 "GO:0000780" "condensed nuclear chromosome, centromeric region" 0.999951216588406
144 0.692599315272046 2 39 "GO:0000781" "chromosome, telomeric region" 0.804247838772185
-13 0.977654408264445 2 25 "GO:0000784" "nuclear chromosome, telomeric region" 0.999951216588406
-208 0.206555871704291 2 192 "GO:0000785" "chromatin" 0.349745997905672
822 0.175767236953798 3 14 "GO:0000786" "nucleosome" 0.307411834178453
-159 0.44101331911647 2 122 "GO:0000790" "nuclear chromatin" 0.615272652629213
1645 0.00502247207793442 4 15 "GO:0000791" "euchromatin" 0.0180894121451028
132 0.707508303304605 4 42 "GO:0000792" "heterochromatin" 0.817095187240373
-125 0.568292452056378 2 108 "GO:0000793" "condensed chromosome" 0.694035322195289
-194 0.478835733005257 2 69 "GO:0000794" "condensed nuclear chromosome" 0.629232423988168
-947 0.132768845658988 3 13 "GO:0000795;GO:0099086" "synaptonemal complex" 0.248576032621453
-1 0.998239869624939 3 26 "GO:0000796" "condensin complex" 0.999951216588406
-1 0.998730712048199 3 14 "GO:0000799" "nuclear condensin complex" 0.999951216588406
-7 0.987782713996516 2 23 "GO:0000803" "sex chromosome" 0.999951216588406
-636 0.22216783133016 2 19 "GO:0000805;GO:0046536" "X chromosome" 0.367413777822981
-6 0.983435375411779 3 54 "GO:0000922" "spindle pole" 0.999951216588406
586 0.172015615752397 5 28 "GO:0000932" "P-body" 0.303347040227256
-1 0.99868286734735 2 15 "GO:0000940" "condensed chromosome outer kinetochore" 0.999951216588406
631 0.0302128376558253 3 61 "GO:0001650" "fibrillar center" 0.0746538139751497
-297 0.459397426080839 6 32 "GO:0001669" "acrosomal vesicle" 0.625781750270374
-1 0.998730712048199 4 14 "GO:0001674;GO:0042585" "female germ cell nucleus" 0.999951216588406
2216 2.10696666553554e-05 4 19 "GO:0001725;GO:0097517;GO:0032432" "actin filament bundle" 0.000186554340177626
708 0.0159300148172537 2 60 "GO:0001726" "ruffle" 0.0457449749819785
-20 0.968102896635955 2 20 "GO:0001750" "photoreceptor outer segment" 0.999951216588406
459 0.483856827116827 3 12 "GO:0001917" "photoreceptor inner segment" 0.632735850845081
126 0.829856011892121 2 15 "GO:0002080" "acrosomal membrane" 0.930577322042616
-28 0.768745988998002 1 590 "GO:0005576" "extracellular region" 0.875917011592898
35 0.797702502024169 2 289 "GO:0005615" "extracellular space" 0.90627460894799
-509 0.00725809665628387 2 145 "GO:0005635" "nuclear envelope" 0.0244798900028838
-458 0.467172017501549 2 13 "GO:0005637" "nuclear inner membrane" 0.628410501759738
-811 0.0178892718739767 3 44 "GO:0005643" "nuclear pore" 0.0493697438080526
-324 4.17371137413355e-06 2 1138 "GO:0005654" "nucleoplasm" 4.92729815001877e-05
-464 0.271718983386412 2 29 "GO:0005657" "replication fork" 0.435775728072548
-396 0.0737336000847388 2 106 "GO:0005667" "transcription factor complex" 0.159069949421391
-1621 0.017869563181466 2 11 "GO:0005669" "transcription factor TFIID complex" 0.0493697438080526
-1029 0.000367031143535554 2 62 "GO:0005681" "spliceosomal complex" 0.00176032436874082
-2827 1.16872654509081e-08 3 21 "GO:0005684" "U2-type spliceosomal complex" 3.10442988539746e-07
370 0.26476469345546 5 47 "GO:0005700" "polytene chromosome" 0.427851690945135
-445 0.463730064377958 4 14 "GO:0005703" "polytene chromosome puff" 0.628100874468714
-512 0.454802484297337 4 11 "GO:0005705" "polytene chromosome interband" 0.623519534923768
625 0.384127840146482 2 10 "GO:0005719" "nuclear euchromatin" 0.570819342875017
871 0.0864744094200992 2 20 "GO:0005720" "nuclear heterochromatin" 0.179276214651425
328 0.539921192464766 5 18 "GO:0005721" "pericentric heterochromatin" 0.674901490580957
-513 4.46018088512671e-05 3 335 "GO:0005730" "nucleolus" 0.000305738205835299
-722 1.66947938224277e-12 2 512 "GO:0005739" "mitochondrion" 3.54764368726589e-10
-530 0.000900195010813247 3 205 "GO:0005740;GO:0031966" "mitochondrial envelope" 0.00402718820626979
-264 0.407896858967966 4 51 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 0.591659266421111
-791 2.16656983244375e-05 2 150 "GO:0005743;GO:0019866" "organelle inner membrane" 0.000187916771181346
-20 0.969211801379435 2 19 "GO:0005746;GO:0070469;GO:0098803" "respirasome" 0.999951216588406
-531 0.417531896228554 3 12 "GO:0005747;GO:0045271;GO:0030964" "NADH dehydrogenase complex" 0.597695452245955
-580 0.419089987692458 3 10 "GO:0005753;GO:0045259" "proton-transporting ATP synthase complex" 0.597695452245955
536 0.189090225731502 2 31 "GO:0005758;GO:0031970" "organelle envelope lumen" 0.326680268032066
-823 2.60532560477456e-05 3 136 "GO:0005759" "mitochondrial matrix" 0.00020891761925079
-847 0.00109603668952045 5 77 "GO:0005765;GO:0098852;GO:0005774" "vacuolar membrane" 0.00475322033720603
107 0.710480078604978 7 62 "GO:0005766;GO:0035578;GO:0042582" "primary lysosome" 0.818303613569419
1530 0.0090602570755742 2 15 "GO:0005767;GO:0044754" "secondary lysosome" 0.0295394805168393
556 9.26081800739952e-06 4 336 "GO:0005768" "endosome" 9.83961913286199e-05
581 0.00749561276057979 2 110 "GO:0005769" "early endosome" 0.0248877767441126
-522 0.024015592054791 2 97 "GO:0005770" "late endosome" 0.0614857025499167
1364 0.0132376551765 6 17 "GO:0005771" "multivesicular body" 0.0410657186132299
-342 0.018051668651137 2 251 "GO:0005773;GO:0000323;GO:0005764" "vacuole" 0.0494965108176337
-351 0.147876310918421 3 88 "GO:0005775" "vacuolar lumen" 0.268572059076856
467 0.211686271760503 2 37 "GO:0005776" "autophagosome" 0.355599468372386
-1157 0.000211119967110327 3 53 "GO:0005777;GO:0042579" "peroxisome" 0.00112157482527361
-1611 0.00600674243196081 3 15 "GO:0005778;GO:0031903" "microbody membrane" 0.0209251273244536
-1515 0.00760314739328438 4 16 "GO:0005782;GO:0031907" "microbody lumen" 0.0250491290088826
-148 0.132375147195178 2 555 "GO:0005783" "endoplasmic reticulum" 0.248576032621453
61 0.817612239849761 2 74 "GO:0005788" "endoplasmic reticulum lumen" 0.919273020995102
-126 0.294457149009706 3 367 "GO:0005789;GO:0044432;GO:0042175;GO:0098827" "endoplasmic reticulum part" 0.462380610011129
2162 0.000366368508501841 3 14 "GO:0005790" "smooth endoplasmic reticulum" 0.00176032436874082
257 0.468720303665499 3 41 "GO:0005791" "rough endoplasmic reticulum" 0.628410501759738
239 0.489645493130882 2 43 "GO:0005793" "endoplasmic reticulum-Golgi intermediate compartment" 0.634449190794588
-8 0.935713208050583 2 510 "GO:0005794" "Golgi apparatus" 0.999951216588406
253 0.34930915666965 3 71 "GO:0005795;GO:0031985" "Golgi stack" 0.528314560799293
-531 0.262542539308212 4 23 "GO:0005796" "Golgi lumen" 0.425880073305306
-567 0.407528664289107 2 11 "GO:0005797" "Golgi medial cisterna" 0.591659266421111
-189 0.468547450404149 4 76 "GO:0005798" "Golgi-associated vesicle" 0.628410501759738
667 0.200342559347131 2 19 "GO:0005801" "cis-Golgi network" 0.340582350890123
-12 0.958039101654279 3 96 "GO:0005802" "trans-Golgi network" 0.999951216588406
300 0.397927184976435 4 41 "GO:0005811" "lipid droplet" 0.58338576167743
412 0.00469867731162852 2 247 "GO:0005813;GO:0005815" "microtubule organizing center" 0.0170678449354027
-165 0.444432503062633 2 112 "GO:0005819" "spindle" 0.615272652629213
639 0.0149781141261888 3 75 "GO:0005840;GO:0044391" "ribosome" 0.0442062396085433
2028 1.85995972888242e-05 2 23 "GO:0005844" "polysome" 0.000168187847824474
-1871 0.00430386354450254 3 12 "GO:0005852" "eukaryotic translation initiation factor 3 complex" 0.0160451053194174
-521 0.426284662459854 3 12 "GO:0005868" "cytoplasmic dynein complex" 0.603903271818127
791 0.177144502412449 2 15 "GO:0005871" "kinesin complex" 0.308550875103651
-321 0.282680013265054 2 58 "GO:0005874" "microtubule" 0.446613403857427
-396 0.173735188815137 3 61 "GO:0005875" "microtubule associated complex" 0.305113451431542
19 0.9680048757299 2 24 "GO:0005876" "spindle microtubule" 0.999951216588406
-30 0.958371868841443 2 16 "GO:0005881" "cytoplasmic microtubule" 0.999951216588406
311 0.550296703924338 2 19 "GO:0005884" "actin filament" 0.681323333169456
396 2.01221127157477e-09 2 1313 "GO:0005886" "plasma membrane" 7.12658158682731e-08
378 0.000143070832764974 3 545 "GO:0005887;GO:0031226" "intrinsic component of plasma membrane" 0.000844515332293249
-247 0.593965335119266 3 24 "GO:0005891;GO:0034704" "calcium channel complex" 0.71309397577878
-90 0.80320684145617 2 40 "GO:0005901;GO:0044853" "plasma membrane raft" 0.907880073454447
734 0.038576807933259 2 41 "GO:0005902" "microvillus" 0.0915929797298049
-21 0.94088306586839 2 63 "GO:0005903" "brush border" 0.999951216588406
160 0.694699970169535 2 31 "GO:0005905" "clathrin-coated pit" 0.804489066272622
