"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
408 0.543850360076475 2 13 "GO:0000118" "histone deacetylase complex" 0.662281957113186
-207 0.613705129972797 4 35 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.705990743448656
514 0.502166379516362 4 10 "GO:0000138" "Golgi trans cisterna" 0.629369237158793
147 0.368623800392267 3 224 "GO:0000139" "Golgi membrane" 0.522261156897657
112 0.560355249277493 2 159 "GO:0000151" "ubiquitin ligase complex" 0.670847833642069
-693 0.144536588481718 3 26 "GO:0000152" "nuclear ubiquitin ligase complex" 0.261395957892469
-682 2.2333795752644e-05 2 230 "GO:0000228;GO:0044454" "nuclear chromosome" 0.000191056310252712
-896 0.0980338083885035 2 20 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.190248258288192
-1619 0.000123653681102645 5 33 "GO:0000313;GO:0005761" "mitochondrial ribosome" 0.000796254764676123
-1376 0.0488499156951097 2 12 "GO:0000314;GO:0005763" "organellar small ribosomal subunit" 0.104900926118721
-1842 0.000666626425847102 5 20 "GO:0000315;GO:0005762" "organellar large ribosomal subunit" 0.00329437477889556
1689 0.00402559776985657 2 17 "GO:0000407" "phagophore assembly site" 0.0151405225857437
-1772 5.93380346293885e-08 5 55 "GO:0000428;GO:0030880;GO:0055029" "RNA polymerase complex" 1.48345086573471e-06
1562 0.00248459533965069 3 22 "GO:0000502;GO:1905369" "endopeptidase complex" 0.00986871980702377
59 0.819224867239486 2 88 "GO:0000775" "chromosome, centromeric region" 0.890461812216833
-3 0.991998191095541 2 60 "GO:0000776" "kinetochore" 0.999696769847009
-161 0.673592043543495 2 40 "GO:0000777;GO:0000779" "condensed chromosome, centromeric region" 0.758736268955591
-475 0.479696232815214 4 13 "GO:0000778" "condensed nuclear chromosome kinetochore" 0.609655696201965
-340 0.550917689291435 5 18 "GO:0000780" "condensed nuclear chromosome, centromeric region" 0.66706557820188
-650 0.0938231379811549 5 39 "GO:0000781" "chromosome, telomeric region" 0.185970681016197
-1270 0.00875958904029577 2 25 "GO:0000784" "nuclear chromosome, telomeric region" 0.0279911679859075
-555 0.00161226770908205 4 192 "GO:0000785" "chromatin" 0.00671778212117521
12 0.985581235887066 2 14 "GO:0000786" "nucleosome" 0.999696769847009
-503 0.0222838289914512 2 122 "GO:0000790" "nuclear chromatin" 0.0573977413416167
1579 0.0115456717498287 2 15 "GO:0000791" "euchromatin" 0.0345557077019521
-577 0.123079927573609 2 42 "GO:0000792" "heterochromatin" 0.229425303591157
-700 0.00276784207009042 2 108 "GO:0000793" "condensed chromosome" 0.0107920447687012
-582 0.0461600645507956 5 69 "GO:0000794" "condensed nuclear chromosome" 0.102177226219209
-2410 0.000330766180910286 2 13 "GO:0000795;GO:0099086" "synaptonemal complex" 0.00184967930114305
-480 0.312575096408388 2 26 "GO:0000796" "condensin complex" 0.461265333241545
-443 0.493149837179431 2 14 "GO:0000799" "nuclear condensin complex" 0.62271226664205
35 0.943983151802318 2 23 "GO:0000803" "sex chromosome" 0.988159703241343
-581 0.295152138076822 6 19 "GO:0000805;GO:0046536" "X chromosome" 0.441688939023413
-348 0.291021244876308 2 54 "GO:0000922" "spindle pole" 0.437046039125198
808 0.0773207028650375 4 28 "GO:0000932" "P-body" 0.160299018134834
9 0.988540216555942 2 15 "GO:0000940" "condensed chromosome outer kinetochore" 0.999696769847009
312 0.314757794981904 2 61 "GO:0001650" "fibrillar center" 0.462879110267506
-1018 0.0174129910299668 3 32 "GO:0001669" "acrosomal vesicle" 0.0474442025312068
-833 0.198018424544915 7 14 "GO:0001674;GO:0042585" "germinal vesicle" 0.323683963198419
1925 0.00052962057738829 3 19 "GO:0001725;GO:0097517;GO:0032432" "actin filament bundle" 0.00271191259506052
766 0.0144700181842672 3 60 "GO:0001726" "ruffle" 0.0421216282761203
603 0.265545033839668 3 20 "GO:0001750" "photoreceptor outer segment" 0.407424690909238
39 0.955968352141799 3 12 "GO:0001917" "photoreceptor inner segment" 0.992806845664652
-673 0.281802463240825 5 15 "GO:0002080" "acrosomal membrane" 0.427735881704824
-146 0.153362976676255 1 590 "GO:0005576" "extracellular region" 0.272716590323884
82 0.568799815963332 2 289 "GO:0005615" "extracellular space" 0.673370255666897
-385 0.0566649314997612 2 145 "GO:0005635" "nuclear envelope" 0.120412979436993
-910 0.175262740891905 2 13 "GO:0005637" "nuclear inner membrane" 0.300349455157498
-1082 0.00306023085157441 2 44 "GO:0005643" "nuclear pore" 0.0118236191992648
-340 6.06656142456675e-06 4 1138 "GO:0005654" "nucleoplasm" 6.28850879375822e-05
-1560 0.000521858101818716 4 29 "GO:0005657" "replication fork" 0.00270475235698725
-168 0.475979101833348 2 106 "GO:0005667" "transcription factor complex" 0.608438595329405
-1135 0.120035532623512 2 11 "GO:0005669" "transcription factor TFIID complex" 0.224736129361201
-174 0.571016562145159 2 62 "GO:0005681" "spliceosomal complex" 0.674116774754702
-1427 0.00691280864697142 2 21 "GO:0005684" "U2-type spliceosomal complex" 0.0222571490527489
157 0.656455852942866 2 47 "GO:0005700" "polytene chromosome" 0.742004621012548
-6 0.992900560385861 5 14 "GO:0005703" "polytene chromosome puff" 0.999696769847009
618 0.397006542436753 5 11 "GO:0005705" "polytene chromosome interband" 0.551397975606601
572 0.455027731114046 3 10 "GO:0005719" "nuclear euchromatin" 0.600580079886551
-29 0.957766604052958 2 20 "GO:0005720" "nuclear heterochromatin" 0.992806845664652
-999 0.0799397844468515 2 18 "GO:0005721" "pericentric heterochromatin" 0.164924312572388
-539 5.66364224155656e-05 2 335 "GO:0005730" "nucleolus" 0.000407974229264667
-823 4.55082774807109e-14 2 512 "GO:0005739" "mitochondrion" 9.67050896465107e-12
