"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0312547261834116 4 35 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.0441609066472084
0 0.000144292371948747 4 224 "GO:0000139" "Golgi membrane" 0.000356339422899514
0 9.05125003926091e-08 3 159 "GO:0000151" "ubiquitin ligase complex" 4.12051741640819e-07
0 0.791468881368337 4 26 "GO:0000152" "nuclear ubiquitin ligase complex" 0.820354606965722
0 0.00568382772593228 4 230 "GO:0000228" "nuclear chromosome" 0.00927705215037223
0 0.712230865171067 4 33 "GO:0000313;GO:0005761" "organellar ribosome" 0.749161354476233
0 0.0136530983185711 3 55 "GO:0000428;GO:0030880;GO:0055029" "RNA polymerase complex" 0.0203009420024827
0 0.156980672611427 2 88 "GO:0000775" "chromosome, centromeric region" 0.187321474880862
0 0.326995566350723 3 60 "GO:0000776" "kinetochore" 0.371466963374421
0 0.887989851740191 5 33 "GO:0000777" "condensed chromosome kinetochore" 0.913728688022515
0 0.646421513619931 6 40 "GO:0000779" "condensed chromosome, centromeric region" 0.68981618937002
0 0.421315204377799 5 39 "GO:0000781" "chromosome, telomeric region" 0.467396554856621
0 0.521631403716068 2 25 "GO:0000784" "nuclear chromosome, telomeric region" 0.565432513951768
0 6.90064731119981e-06 2 192 "GO:0000785" "chromatin" 2.2270270867963e-05
0 0.00284063724666336 2 122 "GO:0000790" "nuclear chromatin" 0.00494933115369567
0 0.684748183268362 3 42 "GO:0000792" "heterochromatin" 0.722931167465483
0 0.638152162189033 2 108 "GO:0000793" "condensed chromosome" 0.683906468157303
0 0.334761011462263 2 69 "GO:0000794" "condensed nuclear chromosome" 0.377270346251122
0 1 2 26 "GO:0000796" "condensin complex" 1
0 0.0288029821078976 4 54 "GO:0000922" "spindle pole" 0.0409002345932146
0 0.000468083551235191 2 28 "GO:0000932" "P-body" 0.000984709100376254
0 8.45607396020303e-07 2 61 "GO:0001650" "fibrillar center" 3.43075000671094e-06
0 0.0186857643741968 6 32 "GO:0001669" "acrosomal vesicle" 0.0273544179498551
0 0.000153839222827144 2 60 "GO:0001726" "ruffle" 0.000373421703272726
0 0.000806432972501584 1 590 "GO:0005576" "extracellular region" 0.00161286594500317
0 0.0206115750037251 2 289 "GO:0005615" "extracellular space" 0.0298657515360098
0 0.0001652484284877 2 145 "GO:0005635" "nuclear envelope" 0.000394374400760561
0 0.344369817490339 4 44 "GO:0005643" "nuclear pore" 0.386565328724333
0 1.00141376828304e-27 4 1138 "GO:0005654" "nucleoplasm" 7.11003775480958e-26
0 0.964729651788538 4 29 "GO:0005657" "replication fork" 0.978511503956946
0 0.00462805351719907 2 106 "GO:0005667" "transcription factor complex" 0.00773157175814433
