"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
372 0.508439692145915 2 13 "GO:0000118" "histone deacetylase complex" 0.66693478136424
276 0.420679855529232 4 35 "GO:0000123;GO:0031248;GO:1902493" "acetyltransferase complex" 0.598553193974692
-128 0.842069147135676 2 10 "GO:0000138" "Golgi trans cisterna" 0.933326860225549
-219 0.108721944889279 2 224 "GO:0000139" "Golgi membrane" 0.225506668163922
457 0.00464102443586648 3 159 "GO:0000151" "ubiquitin ligase complex" 0.0197218637178232
-69 0.861900712386911 2 26 "GO:0000152" "nuclear ubiquitin ligase complex" 0.933326860225549
138 0.306043897594347 3 230 "GO:0000228;GO:0044454" "nuclear chromosome" 0.490825118783387
-45 0.920824369817629 2 20 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.942053220454226
-643 0.0685379121192851 2 33 "GO:0000313;GO:0005761" "organellar ribosome" 0.156605444358582
-1100 0.0599943757057459 3 12 "GO:0000314;GO:0005763" "mitochondrial small ribosomal subunit" 0.142444746787386
-395 0.383109196685969 3 20 "GO:0000315;GO:0005762" "mitochondrial large ribosomal subunit" 0.567589781975372
-62 0.900385912217588 2 17 "GO:0000407" "phagophore assembly site" 0.933326860225549
-76 0.780698918382721 2 55 "GO:0000428;GO:0030880;GO:0055029" "RNA polymerase complex" 0.914041433368199
1004 0.0202209549543997 4 22 "GO:0000502;GO:1905369" "endopeptidase complex" 0.059679901775138
551 0.0109367421550094 5 88 "GO:0000775" "chromosome, centromeric region" 0.0372714996733894
538 0.0398974700087444 2 60 "GO:0000776" "kinetochore" 0.102147137070581
531 0.0976903827271028 2 40 "GO:0000777;GO:0000779" "condensed chromosome, centromeric region" 0.207800703417157
414 0.46134652637061 2 13 "GO:0000778" "condensed nuclear chromosome kinetochore" 0.636360141722413
603 0.206655821714756 2 18 "GO:0000780" "condensed nuclear chromosome, centromeric region" 0.363931469321068
399 0.219511022723821 4 39 "GO:0000781" "chromosome, telomeric region" 0.379236522998471
184 0.649803005322418 3 25 "GO:0000784" "nuclear chromosome, telomeric region" 0.79130738470495
369 0.0121791640054454 3 192 "GO:0000785" "chromatin" 0.0410805135104309
334 0.536949116332235 3 14 "GO:0000786" "nucleosome" 0.689436176559516
323 0.0796603235330406 2 122 "GO:0000790" "nuclear chromatin" 0.175805376444882
1989 0.00014339310105001 2 15 "GO:0000791" "euchromatin" 0.000982936579778294
518 0.0977885663139561 2 42 "GO:0000792" "heterochromatin" 0.207800703417157
88 0.652440463207225 5 108 "GO:0000793" "condensed chromosome" 0.792249133894487
7 0.977223098531229 2 69 "GO:0000794" "condensed nuclear chromosome" 0.98514905438745
-1007 0.0730380117492967 3 13 "GO:0000795;GO:0099086" "synaptonemal structure" 0.164238915309265
-81 0.838273128450452 3 26 "GO:0000796" "condensin complex" 0.933326860225549
-81 0.881024393818537 3 14 "GO:0000799" "nuclear condensin complex" 0.933326860225549
449 0.28761591247059 5 23 "GO:0000803" "sex chromosome" 0.468805641809785
-81 0.861539315739923 2 19 "GO:0000805;GO:0046536" "X chromosome" 0.933326860225549
484 0.0798363238914405 2 54 "GO:0000922" "spindle pole" 0.175805376444882
773 0.0436799853405671 2 28 "GO:0000932" "P-body" 0.109846116980716
348 0.505952643866844 3 15 "GO:0000940" "condensed chromosome outer kinetochore" 0.66572716298269
1270 1.03179512151883e-06 2 61 "GO:0001650" "fibrillar center" 1.77742940436699e-05
-826 0.0211656935707438 4 32 "GO:0001669" "acrosomal vesicle" 0.0616124641614117
-81 0.881024393818537 5 14 "GO:0001674;GO:0042585" "germinal vesicle" 0.933326860225549
2476 1.001922204897e-07 3 19 "GO:0001725;GO:0097517;GO:0032432" "actin filament bundle" 2.66135585675766e-06
655 0.0124258324617461 4 60 "GO:0001726" "ruffle" 0.0415825102066306
532 0.240654916090227 3 20 "GO:0001750" "photoreceptor outer segment" 0.407483423658751
1445 0.0134830641474598 3 12 "GO:0001917" "photoreceptor inner segment" 0.0444209477726389
-888 0.0896952221348176 2 15 "GO:0002080" "acrosomal membrane" 0.192527623269179
-52 0.543740613187292 1 590 "GO:0005576" "extracellular region" 0.693963245058856
198 0.0998724064464475 2 289 "GO:0005615" "extracellular space" 0.211172998705175
124 0.461943643295382 2 145 "GO:0005635" "nuclear envelope" 0.636360141722413
-83 0.882517612292531 3 13 "GO:0005637" "nuclear inner membrane" 0.933326860225549
-80 0.794186328217236 2 44 "GO:0005643" "nuclear pore" 0.918679975791449
139 0.0271220021615679 2 1138 "GO:0005654" "nucleoplasm" 0.0743667801204281
120 0.750146483500213 2 29 "GO:0005657" "replication fork" 0.888056421971004
104 0.599399141490476 2 106 "GO:0005667" "transcription factor complex" 0.749248926863095
472 0.439412456780104 2 11 "GO:0005669" "transcription factor TFIID complex" 0.61431017806429
127 0.623481789511054 3 62 "GO:0005681" "spliceosomal complex" 0.768805087109127
-926 0.0362632066941941 4 21 "GO:0005684" "U2-type spliceosomal complex" 0.0954980809090857
336 0.256689637918471 2 47 "GO:0005700" "polytene chromosome" 0.431198008361068
-45 0.933125343925542 4 14 "GO:0005703" "polytene chromosome puff" 0.951027029180708
-17 0.978195061062362 4 11 "GO:0005705" "polytene chromosome interband" 0.98514905438745
1181 0.0652064718608694 4 10 "GO:0005719" "nuclear euchromatin" 0.149798651572268
543 0.230661710589931 2 20 "GO:0005720" "nuclear heterochromatin" 0.392124908002883
257 0.591160693464315 2 18 "GO:0005721" "pericentric heterochromatin" 0.743323357166668
135 0.227091657508648 2 335 "GO:0005730" "nucleolus" 0.389169171133772
-652 9.19762777536611e-13 2 512 "GO:0005739" "mitochondrion" 9.77247951132649e-11
-655 4.34284821944552e-06 2 205 "GO:0005740;GO:0031966" "mitochondrial envelope" 6.00785756498944e-05
-201 0.479773128039311 2 51 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 0.649374456741106
-865 2.00160701628744e-07 2 150 "GO:0005743;GO:0019866" "organelle inner membrane" 4.72601656623423e-06
-1013 0.0293971986509478 2 19 "GO:0005746;GO:0070469;GO:0098803" "respirasome" 0.0800885219657232
-1555 0.00783407479505041 3 12 "GO:0005747;GO:0045271;GO:0030964" "mitochondrial respiratory chain complex I" 0.0288407180015817
-81 0.899373321631489 3 10 "GO:0005753;GO:0045259" "mitochondrial proton-transporting ATP synthase complex" 0.933326860225549
315 0.386705139212871 4 31 "GO:0005758;GO:0031970" "organelle envelope lumen" 0.570658625574549
-799 4.68494024365183e-06 2 136 "GO:0005759" "mitochondrial matrix" 6.03363516227887e-05
-967 2.93623337196459e-05 5 77 "GO:0005765;GO:0098852;GO:0005774" "vacuolar membrane" 0.00026551046448616
-75 0.770314811624036 5 62 "GO:0005766;GO:0035578;GO:0042582" "azurophil granule" 0.904766289235806
1131 0.0306229108881579 2 15 "GO:0005767;GO:0044754" "secondary lysosome" 0.0828964148246313
386 0.000555292794500442 2 336 "GO:0005768" "endosome" 0.00318918159003632
529 0.00638678597990616 3 110 "GO:0005769" "early endosome" 0.0249026058849552
-704 0.000644536729862418 5 97 "GO:0005770" "late endosome" 0.0036523748025537
638 0.194432473713958 2 17 "GO:0005771" "multivesicular body" 0.345748122713105
-398 0.00206218965162393 2 251 "GO:0005773;GO:0000323;GO:0005764" "vacuole" 0.00942398496709861
-419 0.0530571446344813 2 88 "GO:0005775" "vacuolar lumen" 0.129593600400314
85 0.79945921101551 3 37 "GO:0005776" "autophagosome" 0.918679975791449
-897 0.00129478921956128 3 53 "GO:0005777;GO:0042579" "peroxisome" 0.00639866765480865
-1695 0.00119647713387636 3 15 "GO:0005778;GO:0031903" "microbody membrane" 0.00612653954093317
-1627 0.00132407878688267 5 16 "GO:0005782;GO:0031907" "peroxisomal matrix" 0.00646820097040385
-247 0.00486364297503128 2 555 "GO:0005783" "endoplasmic reticulum" 0.0202651790626303
-96 0.684031964864671 2 74 "GO:0005788" "endoplasmic reticulum lumen" 0.825890866668992
-205 0.0561982070946393 2 367 "GO:0005789;GO:0044432;GO:0042175;GO:0098827" "endoplasmic reticulum part" 0.135756638098541
794 0.142826217120469 3 14 "GO:0005790" "smooth endoplasmic reticulum" 0.272202431731836
-232 0.464168573962231 3 41 "GO:0005791" "rough endoplasmic reticulum" 0.636360141722413
310 0.316534010052298 2 43 "GO:0005793" "endoplasmic reticulum-Golgi intermediate compartment" 0.500100201755489
-220 0.0161356476768384 2 510 "GO:0005794" "Golgi apparatus" 0.050828708990272
178 0.460115775585242 3 71 "GO:0005795;GO:0031985" "Golgi stack" 0.636360141722413
-341 0.419537070386295 2 23 "GO:0005796" "Golgi lumen" 0.598553193974692
-1182 0.0529842039287046 2 11 "GO:0005797" "Golgi medial cisterna" 0.129593600400314
215 0.356808824493756 4 76 "GO:0005798" "Golgi-associated vesicle" 0.545481116582181
-51 0.913470426274452 2 19 "GO:0005801" "cis-Golgi network" 0.942053220454226
-465 0.025098846940802 3 96 "GO:0005802" "trans-Golgi network" 0.070642449998946
392 0.216003777593206 4 41 "GO:0005811" "lipid droplet" 0.376236088020953
549 2.4623690750262e-05 3 247 "GO:0005813;GO:0005815" "microtubule organizing center" 0.000238587564688505
207 0.281114397079769 2 112 "GO:0005819" "spindle" 0.463212197697395
-9 0.969301237829604 2 75 "GO:0005840;GO:0044391" "ribosome" 0.983181446485875
1506 0.000365848504732289 3 23 "GO:0005844" "polysome" 0.00228790996724819
-1530 0.00890227119583033 2 12 "GO:0005852" "eukaryotic translation initiation factor 3 complex" 0.0320632649002364
-115 0.844706263331077 3 12 "GO:0005868" "cytoplasmic dynein complex" 0.933326860225549
1095 0.036401621428875 2 15 "GO:0005871" "kinesin complex" 0.0954980809090857
374 0.160899327789679 2 58 "GO:0005874" "microtubule" 0.297313975263537
-88 0.735698235800953 4 61 "GO:0005875" "microtubule associated complex" 0.875831233096373
220 0.594806492180805 3 24 "GO:0005876" "spindle microtubule" 0.745701354503959
-408 0.421099776466901 3 16 "GO:0005881" "cytoplasmic microtubule" 0.598553193974692
1256 0.00692443219318614 2 19 "GO:0005884" "actin filament" 0.0265124656045415
