"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
1637 0.0035865484160802 5 13 "GO:0000118" "histone deacetylase complex" 0.00754595582591131
781 0.02275216091644 3 35 "GO:0000123;GO:0031248;GO:1902493" "protein acetyltransferase complex" 0.0406288587793571
577 0.367532595748919 4 10 "GO:0000138" "Golgi trans cisterna" 0.466272696099375
547 6.18209263470274e-05 3 224 "GO:0000139" "Golgi membrane" 0.000194621434796197
974 1.65008361353075e-09 3 159 "GO:0000151" "ubiquitin ligase complex" 1.20911299267339e-08
-194 0.625045137967608 4 26 "GO:0000152" "nuclear ubiquitin ligase complex" 0.715043482174624
375 0.00543260299280937 2 230 "GO:0000228;GO:0044454" "nuclear chromosome" 0.0108397008072487
1155 0.0108383073153285 2 20 "GO:0000307" "cyclin-dependent protein kinase holoenzyme complex" 0.0207510474831249
-139 0.694266425743715 3 33 "GO:0000313;GO:0005761" "organellar ribosome" 0.754637419286647
306 0.600755911908833 5 12 "GO:0000314;GO:0005763" "organellar small ribosomal subunit" 0.691927540816407
-377 0.405307026950662 4 20 "GO:0000315;GO:0005762" "mitochondrial large ribosomal subunit" 0.509760258060569
2331 2.10446817894592e-06 2 17 "GO:0000407" "phagophore assembly site" 9.12652016379608e-06
685 0.0123027398713614 2 55 "GO:0000428;GO:0030880;GO:0055029" "RNA polymerase complex" 0.0233175923104507
1077 0.0126962197333286 2 22 "GO:0000502;GO:1905369" "endopeptidase complex" 0.0237704554478619
276 0.202731023866176 2 88 "GO:0000775" "chromosome, centromeric region" 0.280653697534608
168 0.521704582551494 2 60 "GO:0000776" "kinetochore" 0.617616845638955
-61 0.848468964787373 2 40 "GO:0000777;GO:0000779" "condensed chromosome, centromeric region" 0.877370584025872
-232 0.680420952190252 3 13 "GO:0000778" "condensed nuclear chromosome kinetochore" 0.749168146841599
-8 0.986293679622961 3 18 "GO:0000780" "condensed nuclear chromosome, centromeric region" 0.990957006713377
154 0.634408207695813 2 39 "GO:0000781" "chromosome, telomeric region" 0.720918417836151
88 0.828297644142686 5 25 "GO:0000784" "nuclear chromosome, telomeric region" 0.862810045981965
739 5.12062501398896e-07 2 192 "GO:0000785" "chromatin" 2.34007057090893e-06
-291 0.591528224925769 2 14 "GO:0000786" "nucleosome" 0.685012249573438
575 0.00179042034001737 5 122 "GO:0000790" "nuclear chromatin" 0.00411312780814801
1586 0.00242758133505427 2 15 "GO:0000791" "euchromatin" 0.00540168621674379
-34 0.912642194021706 5 42 "GO:0000792" "heterochromatin" 0.927925675739773
-38 0.844938479515377 5 108 "GO:0000793" "condensed chromosome" 0.877370584025872
149 0.543290071472598 2 69 "GO:0000794" "condensed nuclear chromosome" 0.637840553524459
238 0.671854514164505 3 13 "GO:0000795;GO:0099086" "synaptonemal complex" 0.749168146841599
-707 0.0751833002937893 4 26 "GO:0000796" "condensin complex" 0.118354301825029
-707 0.191876847485805 2 14 "GO:0000799" "nuclear condensin complex" 0.266495621508062
-101 0.810279801377762 3 23 "GO:0000803" "sex chromosome" 0.85029361872975
-707 0.128348383514275 2 19 "GO:0000805;GO:0046536" "X chromosome" 0.18874762281511
636 0.021294473011514 2 54 "GO:0000922" "spindle pole" 0.0383480975842943
1677 1.2047591695741e-05 2 28 "GO:0000932" "P-body" 4.41398833680166e-05
-295 0.57302174999179 2 15 "GO:0000940" "condensed chromosome outer kinetochore" 0.670893233461462
1558 2.02921696334681e-09 5 61 "GO:0001650" "fibrillar center" 1.43736201570399e-08
963 0.00724672322602778 3 32 "GO:0001669" "acrosomal vesicle" 0.0141928911108839
-707 0.191876847485805 2 14 "GO:0001674;GO:0042585" "female germ cell nucleus" 0.266495621508062
2737 3.94951111345583e-09 3 19 "GO:0001725;GO:0097517;GO:0032432" "actin filament bundle" 2.66435273526782e-08
1165 8.78358162643208e-06 4 60 "GO:0001726" "ruffle" 3.24610625324664e-05
-27 0.952726214289358 3 20 "GO:0001750" "photoreceptor outer segment" 0.964068193030898
942 0.10719231654918 3 12 "GO:0001917" "photoreceptor inner segment" 0.162702623333577
1108 0.0341974853175818 2 15 "GO:0002080" "acrosomal membrane" 0.0579041086054672
291 0.000648109274380677 1 590 "GO:0005576" "extracellular region" 0.00165931591332402
273 0.023393765570624 2 289 "GO:0005615" "extracellular space" 0.0415997923326996
715 2.36905184448155e-05 2 145 "GO:0005635" "nuclear envelope" 8.18574824312731e-05
234 0.677460549116205 4 13 "GO:0005637" "nuclear inner membrane" 0.749168146841599
197 0.520293262138502 4 44 "GO:0005643" "nuclear pore" 0.617616845638955
762 7.38687781626154e-34 4 1138 "GO:0005654" "nucleoplasm" 5.23237178651859e-32
-494 0.1894673977406 2 29 "GO:0005657" "replication fork" 0.265754600791271
590 0.00280240175088527 2 106 "GO:0005667" "transcription factor complex" 0.00601525628346586
1021 0.0947725400876473 3 11 "GO:0005669" "transcription factor TFIID complex" 0.144886077472123
779 0.00250848023949033 4 62 "GO:0005681" "spliceosomal complex" 0.00555262553012182
166 0.707365068084296 2 21 "GO:0005684" "U2-type spliceosomal complex" 0.764962223755282
1094 0.000218774111495592 3 47 "GO:0005700" "polytene chromosome" 0.000617860410805327
1112 0.0400401304637989 2 14 "GO:0005703" "polytene chromosome puff" 0.0667335507729982
482 0.43008357467879 2 11 "GO:0005705" "polytene chromosome interband" 0.532902388450396
727 0.256525899433122 2 10 "GO:0005719" "nuclear euchromatin" 0.339637094265037
-3 0.994930444169306 2 20 "GO:0005720" "nuclear heterochromatin" 0.997276978235743
-322 0.50045572358481 2 18 "GO:0005721" "pericentric heterochromatin" 0.60082961164843
771 6.11547091701309e-12 2 335 "GO:0005730" "nucleolus" 5.52994710580971e-11
682 8.0565835705594e-14 4 512 "GO:0005739" "mitochondrion" 8.77961030125063e-13
718 4.74748987997663e-07 4 205 "GO:0005740;GO:0031966" "mitochondrial envelope" 2.21723428460447e-06
960 0.000732705809815465 2 51 "GO:0005741;GO:0031968;GO:0019867" "outer membrane" 0.00184144638816716
617 0.000207992316646396 2 150 "GO:0005743;GO:0019866" "organelle inner membrane" 0.000597275233612961
321 0.489441031932935 2 19 "GO:0005746;GO:0070469;GO:0098803" "respirasome" 0.594321253061421
921 0.115420188754821 3 12 "GO:0005747;GO:0045271;GO:0030964" "mitochondrial respiratory chain complex I" 0.172117825336137
-707 0.270125503418265 4 10 "GO:0005753;GO:0045259" "mitochondrial proton-transporting ATP synthase complex" 0.352231114686707
122 0.736840105189913 2 31 "GO:0005758;GO:0031970" "organelle envelope lumen" 0.79080061794372
340 0.0516839382416691 2 136 "GO:0005759" "mitochondrial matrix" 0.083838449437822
1239 8.72946944024106e-08 2 77 "GO:0005765;GO:0098852;GO:0005774" "vacuolar membrane" 4.52442013671031e-07
1433 2.72414230860818e-08 7 62 "GO:0005766;GO:0035578;GO:0042582" "primary lysosome" 1.48430830917753e-07
1572 0.00265534989841729 3 15 "GO:0005767;GO:0044754" "secondary lysosome" 0.00581713250941932
1062 2.35622259603743e-21 5 336 "GO:0005768" "endosome" 5.89055649009358e-20
1520 4.50405471410785e-15 2 110 "GO:0005769" "early endosome" 5.98194766717449e-14
790 0.000129619643994436 2 97 "GO:0005770" "late endosome" 0.000387946117588981
111 0.821139255920242 3 17 "GO:0005771" "multivesicular body" 0.857454996968312
1118 4.52693008205108e-18 2 251 "GO:0005773;GO:0000323;GO:0005764" "vacuole" 9.1616442136748e-17
852 8.32380612349714e-05 4 88 "GO:0005775" "vacuolar lumen" 0.000258220262955203
2685 8.13229068605881e-16 3 37 "GO:0005776" "autophagosome" 1.2343655505625e-14
1448 2.0528709729182e-07 5 53 "GO:0005777;GO:0042579" "peroxisome" 1.01450019010492e-06
2924 2.29818391556216e-08 4 15 "GO:0005778;GO:0031903" "microbody membrane" 1.285168636992e-07
1796 0.000391927889531475 2 16 "GO:0005782;GO:0031907" "peroxisomal matrix" 0.00104760599403067
848 4.67779679387628e-22 2 555 "GO:0005783" "endoplasmic reticulum" 1.24253977337339e-20
189 0.423258594909391 2 74 "GO:0005788" "endoplasmic reticulum lumen" 0.527241214866969
860 1.05133593039076e-15 3 367 "GO:0005789;GO:0044432;GO:0042175;GO:0098827" "endoplasmic reticulum part" 1.54075093246922e-14
