V1,signif
aten_0.1.m1.1.m1,1
aten_0.1.m1.10000.m1,1
aten_0.1.m1.10002.m1,1
aten_0.1.m1.10003.m1,1
aten_0.1.m1.10008.m1,1
aten_0.1.m1.10009.m1,1
aten_0.1.m1.10011.m1,1
aten_0.1.m1.10015.m1,1
aten_0.1.m1.10016.m1,1
aten_0.1.m1.10017.m1,1
aten_0.1.m1.1002.m1,1
aten_0.1.m1.10022.m1,1
aten_0.1.m1.10028.m1,1
aten_0.1.m1.1003.m1,1
aten_0.1.m1.10031.m1,1
aten_0.1.m1.10034.m1,1
aten_0.1.m1.10035.m1,1
aten_0.1.m1.10038.m1,1
aten_0.1.m1.1004.m1,1
aten_0.1.m1.10045.m1,1
aten_0.1.m1.1005.m1,1
aten_0.1.m1.1006.m1,1
aten_0.1.m1.10060.m1,1
aten_0.1.m1.10061.m1,1
aten_0.1.m1.10062.m1,1
aten_0.1.m1.10063.m1,1
aten_0.1.m1.10065.m1,1
aten_0.1.m1.10066.m1,1
aten_0.1.m1.10067.m1,1
aten_0.1.m1.10068.m1,1
aten_0.1.m1.1007.m1,1
aten_0.1.m1.10070.m1,1
aten_0.1.m1.10071.m1,1
aten_0.1.m1.10072.m1,1
aten_0.1.m1.10078.m1,1
aten_0.1.m1.10079.m1,1
aten_0.1.m1.10083.m1,1
aten_0.1.m1.10088.m1,1
aten_0.1.m1.10089.m1,1
aten_0.1.m1.1009.m1,1
aten_0.1.m1.10092.m1,1
aten_0.1.m1.10094.m1,1
aten_0.1.m1.10096.m1,1
aten_0.1.m1.10098.m1,1
aten_0.1.m1.10099.m1,1
aten_0.1.m1.1010.m1,1
aten_0.1.m1.10101.m1,1
aten_0.1.m1.10103.m1,1
aten_0.1.m1.10106.m1,1
aten_0.1.m1.10108.m1,1
aten_0.1.m1.10110.m1,1
aten_0.1.m1.10125.m1,1
aten_0.1.m1.1013.m1,1
aten_0.1.m1.10130.m1,1
aten_0.1.m1.10134.m1,1
aten_0.1.m1.10137.m1,1
aten_0.1.m1.10138.m1,1
aten_0.1.m1.10139.m1,1
aten_0.1.m1.1014.m1,1
aten_0.1.m1.10140.m1,1
aten_0.1.m1.10141.m1,1
aten_0.1.m1.10142.m1,1
aten_0.1.m1.10145.m1,1
aten_0.1.m1.10148.m1,1
aten_0.1.m1.10153.m1,1
aten_0.1.m1.10154.m1,1
aten_0.1.m1.10155.m1,1
aten_0.1.m1.10162.m1,1
aten_0.1.m1.10164.m1,1
aten_0.1.m1.10165.m1,1
aten_0.1.m1.10168.m1,1
aten_0.1.m1.1017.m1,1
aten_0.1.m1.10173.m1,1
aten_0.1.m1.10174.m1,1
aten_0.1.m1.10176.m1,1
aten_0.1.m1.10178.m1,1
aten_0.1.m1.10187.m1,1
aten_0.1.m1.10200.m1,1
aten_0.1.m1.10201.m1,1
aten_0.1.m1.10202.m1,1
aten_0.1.m1.10203.m1,1
aten_0.1.m1.10205.m1,1
aten_0.1.m1.10208.m1,1
aten_0.1.m1.10209.m1,1
aten_0.1.m1.10210.m1,1
aten_0.1.m1.10211.m1,1
aten_0.1.m1.1022.m1,1
aten_0.1.m1.10221.m1,1
aten_0.1.m1.10222.m1,1
aten_0.1.m1.10223.m1,1
aten_0.1.m1.10225.m1,1
aten_0.1.m1.10228.m1,1
aten_0.1.m1.10229.m1,1
aten_0.1.m1.10232.m1,1
aten_0.1.m1.10235.m1,1
aten_0.1.m1.10237.m1,1
aten_0.1.m1.1024.m1,1
aten_0.1.m1.10241.m1,1
aten_0.1.m1.10243.m1,1
aten_0.1.m1.10246.m1,1
aten_0.1.m1.10251.m1,1
aten_0.1.m1.10255.m1,1
aten_0.1.m1.10256.m1,1
aten_0.1.m1.1026.m1,1
aten_0.1.m1.10283.m1,1
aten_0.1.m1.10292.m1,1
aten_0.1.m1.10293.m1,1
aten_0.1.m1.10299.m1,1
aten_0.1.m1.10300.m1,1
aten_0.1.m1.10301.m1,1
aten_0.1.m1.10302.m1,1
aten_0.1.m1.10303.m1,1
aten_0.1.m1.10304.m1,1
aten_0.1.m1.10306.m1,1
aten_0.1.m1.10307.m1,1
aten_0.1.m1.10308.m1,1
aten_0.1.m1.10310.m1,1
aten_0.1.m1.10311.m1,1
aten_0.1.m1.10316.m1,1
aten_0.1.m1.10317.m1,1
aten_0.1.m1.1034.m1,1
aten_0.1.m1.1035.m1,1
aten_0.1.m1.10353.m1,1
aten_0.1.m1.10355.m1,1
aten_0.1.m1.10368.m1,1
aten_0.1.m1.10369.m1,1
aten_0.1.m1.10371.m1,1
aten_0.1.m1.10389.m1,1
aten_0.1.m1.1039.m1,1
aten_0.1.m1.1040.m1,1
aten_0.1.m1.1041.m1,1
aten_0.1.m1.10421.m1,1
aten_0.1.m1.10431.m1,1
aten_0.1.m1.10435.m1,1
aten_0.1.m1.10436.m1,1
aten_0.1.m1.10437.m1,1
aten_0.1.m1.10438.m1,1
aten_0.1.m1.10439.m1,1
aten_0.1.m1.1044.m1,1
aten_0.1.m1.10440.m1,1
aten_0.1.m1.10441.m1,1
aten_0.1.m1.10443.m1,1
