gene	CoPt_E_rep1	CoPt_H_rep1	CoPt_E_rep2	CoPt_H_rep2	CoPt_E_rep3	CoPt_H_rep3	CoPt_E_rep4	CoPt_H_rep4	Falu_E_rep1	Falu_H_rep1	Falu_E_rep3	Falu_E_rep4	Falu_H_rep4	Falu_E_rep6	Falu_H_rep6	Ftele_H_rep1	Ftele_E_rep3	Ftele_H_rep3	Ftele_E_rep5	Ftele_H_rep5	Ftele_E_rep6	Ftele_H_rep6
aten_0.1.m1.36596.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.24696.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.27602.m1	1062.19	48.63	655.02	4.63	25.69	37.79	3495.87	56.30	159.49	9.01	217.58	111.13	32.66	393.46	33.14	19.97	248.46	68.77	1635.28	27.87	1217.17	24.96
aten_0.1.m1.26980.m1	70.00	23.00	84.00	5.00	82.00	49.00	54.00	6.00	49.00	4.00	54.00	73.00	11.00	59.00	27.00	20.00	32.00	13.00	43.00	28.00	25.00	11.00
aten_0.1.m1.2621.m1	18.00	0.00	22.00	0.00	17.00	1.00	10.00	0.00	25.00	0.00	9.00	13.01	0.00	1.00	4.00	1.00	11.00	0.00	16.00	3.04	6.00	3.99
aten_0.1.m1.19969.m1	0.00	0.00	0.00	0.00	63.00	6.00	1.00	8.00	22.00	29.00	1.00	0.00	40.00	1.00	1.00	0.00	2.00	0.00	0.00	1.00	0.00	0.00
aten_0.1.m1.19127.m1	6.00	6.12	3.01	0.00	8.82	9.14	9.57	0.00	0.00	0.00	23.01	11.97	1.01	4.60	22.80	0.96	1.99	0.00	0.00	1.00	3.87	0.00
aten_0.1.m1.20250.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.1974.m1	30.00	34.00	57.00	3.00	66.00	27.00	51.00	21.00	45.00	0.00	47.00	32.00	7.00	19.00	1.00	3.00	16.00	7.00	21.00	10.00	13.00	0.00
aten_0.1.m1.29437.m1	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
aten_0.1.m1.20099.m1	387.35	230.11	450.98	87.77	614.38	238.20	522.99	80.85	511.21	40.90	364.99	529.13	57.86	338.64	131.34	115.76	345.57	31.06	187.05	135.43	203.76	45.60
aten_0.1.m1.10169.m1	45.00	23.00	52.00	23.00	26.00	28.00	50.00	21.00	43.00	9.00	17.00	63.00	43.00	50.00	38.00	17.00	18.00	12.00	23.00	35.00	6.00	10.00
aten_0.1.m1.13134.m1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	3.00	0.00	0.00	0.00	0.00
