CoPt_E_rep1	CoPt_E_rep2	CoPt_E_rep3	CoPt_E_rep4	CoPt_H_rep1	CoPt_H_rep2	CoPt_H_rep3	CoPt_H_rep4	Falu_E_rep1	Falu_E_rep3	Falu_E_rep4	Falu_E_rep6	Falu_H_rep1	Falu_H_rep4	Falu_H_rep6	Ftele_E_rep3	Ftele_E_rep5	Ftele_E_rep6	Ftele_H_rep1	Ftele_H_rep3	Ftele_H_rep5	Ftele_H_rep6
aten_0.1.m1.22643.m1	2.48825791280799	2.73984810269933	2.75723664714994	2.53032049467804	0	1.78826808286684	0.788268082866837	2.61093624041816	2.80879689623151	2.85179900401553	2.69331967881157	3.04875931191986	0	0.871055075086629	1.02076886509457	3.24397367191931	2.56608449051547	3.02980622770421	0.784085142734757	0.923719678749389	1.42545930476536	2.41440618208775
aten_0.1.m1.15467.m1	4.58165253046128	5.43192376837353	5.39964963365344	5.34482849699744	6.98742319722562	7.17792775552498	7.75189883141432	7.46886837424539	5.16884257420067	5.36705649028495	5.30910341046935	5.22789507007964	7.87458797141851	8.39530705645735	8.59065441153497	5.36981542428391	4.42566070941087	4.65706830120158	7.75493425541185	8.74055996076159	7.72953917544984	9.15760967900907
aten_0.1.m1.27602.m1	7.4157840135	6.45939882974104	1.76595900604575	8.39810662815793	3.8109571587378	1.74588268890226	2.80405355896735	4.5806882023703	4.5158259700415	4.90838061077545	3.9429835981871	6.04775648654921	2.43882511317562	3.69866299988588	3.26408598762516	5.55455815571192	8.296851983731	8.11573556154858	2.81782788059395	4.92186473390983	2.92827556161193	3.37656822542571
aten_0.1.m1.36795.m1	5.72052473130317	6.01769925269303	5.6356963573253	5.65248649491816	7.39445411987434	7.27414982009719	7.24579986841744	7.49439160795114	5.36222439228574	5.67333027851733	5.60676792300425	5.61756296836113	6.62947319678695	6.89302237042827	7.66063060993693	5.83347203685123	5.27508156494731	5.90074607531062	7.19789487070819	7.52327966201935	6.86554770328563	8.14331177904509
aten_0.1.m1.13403.m1	2.84679415947329	2.52431447022215	2.25429168632222	1.59693514238723	0.54399071966485	0	0.337996463515016	0.552868871011303	1.98768467756676	1.89956236015469	1.57482812358744	1.86552295913996	1.41196851036013	0.278579550458423	0.382943869568991	0.885183866320351	2.26813492392489	1.73941609340103	1.15055967657538	1.43722773891291	1.77357442277131	0.889084098598149
aten_0.1.m1.27541.m1	1.31961793420016	0.37851162325373	1.08542465625268	0.650764559116902	0.168642035558839	0	0	0	1.26363540356833	2.04019107183829	0.608809242675524	0.422233000683048	0	0	0.0717626693000913	0	0.334568275666133	0.271425676092934	0.270229907237998	0	0.337996463515016	0
aten_0.1.m1.10017.m1	1.86235219953202	2.00324241748868	1.6544355408454	1.93432777831537	3.39958128053752	3.53431066500972	3.31556623031895	3.32019582126613	1.92029330021101	1.90188056371866	2.15574923267794	2.03491998434916	3.08440448293435	3.18966644665005	3.93649660685157	2.02538322147792	1.70487196445635	2.31063095723059	3.48684306443981	2.5528688710113	3.45733162548501	3.62351574149055
aten_0.1.m1.12815.m1	5.21598915414672	5.83063562460155	6.20896588630656	5.43666157780741	6.49842640602349	7.30532305931533	6.9656342365752	6.26644924788335	6.14081954791984	5.63920321642917	6.16083953437027	6.22566054317229	7.88020185242349	7.24283112411199	7.1617466298772	5.78445163455456	5.15874095108297	5.16418288409271	7.0235991270387	7.20142802722151	7.02344388407467	6.7774723196631
aten_0.1.m1.10805.m1	2.57531233068744	3.13043671156134	2.51702367206458	2.13881446890228	1.68077442549246	1.05935527761642	1.14730669878029	0.474046599319306	2.75638285511977	2.28392177230762	2.64154602908752	2.46675761572617	0.291603558030565	0.334568275666133	0.984771612385425	2.60359667486021	1.48336436071335	2.23725777090037	1.47923056120634	1.21661006874244	1.40979822782842	0.521050736900963
aten_0.1.m1.1846.m1	3.69097573834328	3.70398660386343	3.44015490868031	3.22866479481694	3.20210422851856	2.95661428755723	1.99963928114804	1.84237548820629	3.93885033700606	3.78617812879877	3.56205921321811	3.65191274464578	1.19345636574959	1.11169907219742	1.32308178950373	3.43562859405209	3.0681548560643	3.20304450339926	2.07519031415522	1.70619898742978	2.58472203150802	1.37573453858316
