CoPt_E_rep1	CoPt_E_rep2	CoPt_E_rep3	CoPt_E_rep4	CoPt_H_rep1	CoPt_H_rep2	CoPt_H_rep3	CoPt_H_rep4	Falu_E_rep1	Falu_E_rep3	Falu_E_rep4	Falu_E_rep6	Falu_H_rep1	Falu_H_rep4	Falu_H_rep6	Ftele_E_rep3	Ftele_E_rep5	Ftele_E_rep6	Ftele_H_rep1	Ftele_H_rep3	Ftele_H_rep5	Ftele_H_rep6
CoPt_E_rep1	1	0.929061696075041	0.899638555899845	0.910151525142074	0.640399566908707	0.476967656872592	0.580860145834428	0.553683245659857	0.865424077457102	0.891837544725119	0.843820603708647	0.866326765405607	0.475690607264871	0.532429685979366	0.515253348412456	0.809041405904519	0.901884639007625	0.818982057318164	0.520970381366291	0.50554662250836	0.573008153709305	0.460748638695933
CoPt_E_rep2	0.929061696075041	1	0.919968059746443	0.925260183542042	0.639731327595308	0.535271082164994	0.61839697841737	0.57969814983727	0.897672056448272	0.894204318281992	0.869142353445657	0.887020856136491	0.512023018314239	0.564355767441056	0.551845704426544	0.847581182132707	0.887963758213835	0.841653472887312	0.551598328659066	0.543810787745119	0.594714169912646	0.505154871614085
CoPt_E_rep3	0.899638555899845	0.919968059746443	1	0.903605715065226	0.65858142181238	0.554876896098115	0.690611102466225	0.63119038479253	0.914766777687611	0.91486502918673	0.905914230157341	0.918239760200606	0.566940059775687	0.621782482953739	0.610971908970348	0.855173781035888	0.875422943642661	0.840135497455056	0.596475025463108	0.580385310380407	0.632871274079379	0.538418268249416
CoPt_E_rep4	0.910151525142074	0.925260183542042	0.903605715065226	1	0.654652039707398	0.531500299907229	0.629822155715934	0.592602340203242	0.898151540892535	0.904209264378522	0.875875217446336	0.886936415722349	0.53166699512374	0.580715477952131	0.561168818366176	0.877488883748284	0.908060111529935	0.881677459273574	0.57314341654175	0.573840873566437	0.608079433702496	0.527765321887054
CoPt_H_rep1	0.640399566908707	0.639731327595308	0.65858142181238	0.654652039707398	1	0.884821619615732	0.921881844992941	0.914235343623788	0.65456855625568	0.685661413048051	0.702860581023561	0.673063537901439	0.866693240346619	0.891358023619783	0.894563697024455	0.677848561702785	0.655859560051881	0.731108468264838	0.844384782265539	0.87525596834581	0.842386386389303	0.869185153569769
CoPt_H_rep2	0.476967656872592	0.535271082164994	0.554876896098115	0.531500299907229	0.884821619615732	1	0.89333925587648	0.891754459822347	0.563193436958492	0.590173191313965	0.615249309120727	0.579247402723374	0.893422403685149	0.885343018249461	0.876139042010544	0.613146439842829	0.543068501113146	0.674253665534183	0.851290163256454	0.89167415259614	0.826142390844808	0.886437695634928
CoPt_H_rep3	0.580860145834428	0.61839697841737	0.690611102466225	0.629822155715934	0.921881844992941	0.89333925587648	1	0.9333574122844	0.659899791046905	0.675026578889435	0.70909692522719	0.679470322493444	0.882024992721767	0.924161243277974	0.925142717697488	0.672388192743339	0.62242790898837	0.714702063977982	0.841181289183649	0.885768045804048	0.834656820068202	0.874346993852261
CoPt_H_rep4	0.553683245659857	0.57969814983727	0.63119038479253	0.592602340203242	0.914235343623788	0.891754459822347	0.9333574122844	1	0.618850274576014	0.641653370457053	0.673920018655935	0.646490345532265	0.895096375979924	0.9186818141113	0.925777762622124	0.647803273654297	0.603335961637353	0.705433194647926	0.858208269517492	0.901073434810971	0.835089472766273	0.895747249859504
Falu_E_rep1	0.865424077457102	0.897672056448272	0.914766777687611	0.898151540892535	0.65456855625568	0.563193436958492	0.659899791046905	0.618850274576014	1	0.914269539242116	0.895836411065446	0.901182819832366	0.618406618754526	0.62134785183274	0.609718820374863	0.89136624792959	0.876931005444861	0.861298256899007	0.616212413181729	0.603263859518098	0.654630588474875	0.562389959987716
Falu_E_rep3	0.891837544725119	0.894204318281992	0.91486502918673	0.904209264378522	0.685661413048051	0.590173191313965	0.675026578889435	0.641653370457053	0.914269539242116	1	0.898889619838254	0.913367532712801	0.600867439394823	0.641497352677469	0.616282707186118	0.90331354115323	0.91581742034466	0.888350232317488	0.651646092839347	0.625440604114321	0.69820271102772	0.587628196094959
Falu_E_rep4	0.843820603708647	0.869142353445657	0.905914230157341	0.875875217446336	0.702860581023561	0.615249309120727	0.70909692522719	0.673920018655935	0.895836411065446	0.898889619838254	1	0.929748965429205	0.622983705545093	0.720343653498668	0.675044010736713	0.856870737662908	0.854990218844375	0.856333011458988	0.622224173597693	0.629627176844982	0.653953949447705	0.590341149803327
Falu_E_rep6	0.866326765405607	0.887020856136491	0.918239760200606	0.886936415722349	0.673063537901439	0.579247402723374	0.679470322493444	0.646490345532265	0.901182819832366	0.913367532712801	0.929748965429205	1	0.593283412290139	0.658576925225971	0.659943991539049	0.863220653060766	0.868622788359785	0.849521151350644	0.611183143546253	0.597360767041163	0.64674586553238	0.557199240597173
Falu_H_rep1	0.475690607264871	0.512023018314239	0.566940059775687	0.53166699512374	0.866693240346619	0.893422403685149	0.882024992721767	0.895096375979924	0.618406618754526	0.600867439394823	0.622983705545093	0.593283412290139	1	0.899284324295143	0.897486337858824	0.636100733428739	0.553325553939271	0.665162787829369	0.885221409698849	0.902877584645337	0.86851440305242	0.902498542733544
Falu_H_rep4	0.532429685979366	0.564355767441056	0.621782482953739	0.580715477952131	0.891358023619783	0.885343018249461	0.924161243277974	0.9186818141113	0.62134785183274	0.641497352677469	0.720343653498668	0.658576925225971	0.899284324295143	1	0.937466443886384	0.635891575253123	0.593108368946728	0.685645737580816	0.840254854654903	0.889930549021151	0.832198166882609	0.88165197893372
Falu_H_rep6	0.515253348412456	0.551845704426544	0.610971908970348	0.561168818366176	0.894563697024455	0.876139042010544	0.925142717697488	0.925777762622124	0.609718820374863	0.616282707186118	0.675044010736713	0.659943991539049	0.897486337858824	0.937466443886384	1	0.615465716411489	0.561062362918574	0.655010121023	0.843970152044815	0.887109865474602	0.828773445314526	0.88754376089034
Ftele_E_rep3	0.809041405904519	0.847581182132707	0.855173781035888	0.877488883748284	0.677848561702785	0.613146439842829	0.672388192743339	0.647803273654297	0.89136624792959	0.90331354115323	0.856870737662908	0.863220653060766	0.636100733428739	0.635891575253123	0.615465716411489	1	0.879771868657605	0.901083663248662	0.68635981004847	0.686656818036523	0.716741088624232	0.629501654520308
Ftele_E_rep5	0.901884639007625	0.887963758213835	0.875422943642661	0.908060111529935	0.655859560051881	0.543068501113146	0.62242790898837	0.603335961637353	0.876931005444861	0.91581742034466	0.854990218844375	0.868622788359785	0.553325553939271	0.593108368946728	0.561062362918574	0.879771868657605	1	0.891979345409035	0.601451424095484	0.591935457599271	0.661041973674245	0.547161864424399
Ftele_E_rep6	0.818982057318164	0.841653472887312	0.840135497455056	0.881677459273574	0.731108468264838	0.674253665534183	0.714702063977982	0.705433194647926	0.861298256899007	0.888350232317488	0.856333011458988	0.849521151350644	0.665162787829369	0.685645737580816	0.655010121023	0.901083663248662	0.891979345409035	1	0.693399138369682	0.712178277875373	0.708290085810033	0.690863623531109
Ftele_H_rep1	0.520970381366291	0.551598328659066	0.596475025463108	0.57314341654175	0.844384782265539	0.851290163256454	0.841181289183649	0.858208269517492	0.616212413181729	0.651646092839347	0.622224173597693	0.611183143546253	0.885221409698849	0.840254854654903	0.843970152044815	0.68635981004847	0.601451424095484	0.693399138369682	1	0.88077707252719	0.919340981373465	0.89434827662166
Ftele_H_rep3	0.50554662250836	0.543810787745119	0.580385310380407	0.573840873566437	0.87525596834581	0.89167415259614	0.885768045804048	0.901073434810971	0.603263859518098	0.625440604114321	0.629627176844982	0.597360767041163	0.902877584645337	0.889930549021151	0.887109865474602	0.686656818036523	0.591935457599271	0.712178277875373	0.88077707252719	1	0.862744693925335	0.930051854945836
